t,x,v,a,id,length,lane,oldLane,pos,event
138.9810465984545,0,44.53661297426791,0,11,6,2,,0,enter lane
140.0,1633.85,45.9806,0.01703493877574186,8,4,3,,633.85,timer
140.0,1214.12,50.7181,-0.047504447549890944,9,6,3,,214.12,timer
140.0,524.53,41.9621,0.060701414709931435,10,6,2,,524.53,timer
140.0,45.38,44.5374,0.0014996225874668982,11,6,2,,45.38,timer
142.0,1725.85,46.0147,0.01703493877574186,8,4,3,,725.85,timer
142.0,1315.46,50.6231,-0.047504447549890944,9,6,3,,315.46,timer
142.0,608.58,42.0835,0.060701414709931435,10,6,2,,608.58,timer
142.0,134.46,44.5433,0.004443079246411926,11,6,2,,134.46,timer
144.0,1817.91,46.0488,0.01703493877574186,8,4,3,,817.91,timer
144.0,1416.61,50.5281,-0.047504447549890944,9,6,3,,416.61,timer
144.0,692.87,42.2049,0.060701414709931435,10,6,2,,692.87,timer
144.0,223.56,44.5551,0.007386535905356955,11,6,2,,223.56,timer
146.0,1910.04,46.0829,0.01703493877574186,8,4,3,,910.04,timer
146.0,1517.57,50.4331,-0.047504447549890944,9,6,3,,517.57,timer
146.0,777.4,42.3263,0.060701414709931435,10,6,2,,777.4,timer
146.0,312.69,44.5728,0.010329992564301983,11,6,2,,312.69,timer
148.0,2002.24,46.117,0.01703493877574186,8,4,3,,1002.24,leave lane
148.0,2002.24,46.117,0.01703493877574186,8,4,,,1002.24,end
148.0,1618.34,50.3381,-0.047504447549890944,9,6,3,,618.34,timer
148.0,862.17,42.4477,0.060701414709931435,10,6,2,,862.17,timer
148.0,401.86,44.5964,0.01327344922324701,11,6,2,,401.86,timer
150.0,1718.92,50.2431,-0.047504447549890944,9,6,3,,718.92,timer
150.0,947.19,42.5691,0.060701414709931435,10,6,2,,947.19,timer
150.0,491.08,44.6259,0.01621690588219204,11,6,2,,491.08,timer
150.56280048165905,0,44.75459633215516,0,12,5,7,,0,enter lane
152.0,1819.31,50.1481,-0.047504447549890944,9,6,3,,819.31,timer
152.0,1032.45,42.6905,0.060701414709931435,10,6,2,,1032.45,leave lane
152.0,1032.45,42.6905,0.060701414709931435,10,6,3,,32.450000000000045,enter lane
152.0,1032.45,42.6905,0.060701414709931435,10,6,3,,32.450000000000045,timer
152.0,580.36,44.6586,0.01634997012814153,11,6,2,,580.36,timer
152.0,64.33,44.7693,0.02046222424681774,12,5,7,,64.33,timer
152.0,64.33,44.7693,0.02046222424681774,12,5,7,,64.33,change slow
